publication_key,year,type,index_class,title_short,venue,doi,cited_by_count,impact_factor,n_dare_authors,faculty_names,faculty_last_names,research_areas,cross_area_publication,internal_collaboration,student_coauthored,added_from_coauthor_any,journal_article_countable,verified_peer_reviewed,in_reporting_window,edge_2026
doi:10.1111/ajae.12415,2024,JA,a,Social Comparisons and Groundwater Use: Evidence from Colorado and Kansas,American Journal of Agricultural Economics,10.1111/ajae.12415,13,3.3,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s10640-024-00854-1,2024,JA,a,Solar Geoengineering Free-Driving and Conflict: An Experimental Investigation,Environmental and Resource Economics,10.1007/s10640-024-00854-1,4,3.4,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jeq2.20599,2024,JA,a,The LTAR Grazingland Common Experiment at the Central Plains Experimental Range,Journal of Environmental Quality,10.1002/jeq2.20599,11,2.3,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1146/annurev-resource-101623-093149,2024,JA,a,The Nature of the Beast: Wildlife Valuation from the Iconic to the Ordinary,Annual Review of Resource Economics,10.1146/annurev-resource-101623-093149,2,8.4,1,Lynne Lewis,Lewis,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.342913,2024,JA,b,Total Ranch Analysis Colorado (TRAC): A Ranch Benchmarking Program,Journal of the American Society of Farm Managers and Rural Appraisers,10.22004/ag.econ.342913,NA,NA,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.344756,2024,JA,b,U.S. Meat Export Potential in ASEAN,Choices,10.22004/ag.econ.344756,NA,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.344758,2024,JA,b,U.S. Soy Exports Could Crush it in ASEAN,Choices,10.22004/ag.econ.344758,NA,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3368/le.100.4.041023-0032r1,2024,JA,a,Value of Farm Data in Farmland Rental Markets,Land Economics,10.3368/le.100.4.041023-0032r1,1,1.6,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.349293,2024,JA,b,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,10.22004/ag.econ.349293,NA,NA,4,Dana Hoag; Daniel Mooney; John Ritten; Nathan Delay,Delay; Hoag; Mooney; Ritten,Ag and Food; ENRE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2024.03.004,2024,JA,a,"What's in a Name? Standardizing Terminology for the Enhancement of Research, Extension, and Industry Applications of Virtual Fence Use on Grazing Livestock",Rangeland Ecology & Management,10.1016/j.rama.2024.03.004,11,2.4,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:economic valuation of landsat next|2024,2024,RP,NA,Economic Valuation of Landsat Next,United States Geological Survey,NA,NA,NA,1,Stephen Koontz,Koontz,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.20506/ecoamr.3539,2024,RP,NA,Forecasting the Fallout from AMR (EcoAMR series),World Organisation for Animal Health / World Bank,10.20506/ecoamr.3539,10,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
titleyear:unemployment and food insecurity amongst immigrants in the u|2024,2024,RP,NA,Unemployment and Food Insecurity Amongst Immigrants in the United States,Regional Economic Development Institute,NA,NA,NA,3,Alessandro Bonanno; Joshua Berning; Jude Bayham,Bayham; Berning; Bonanno,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1002/9780470282014.ch14,2025,BC,NA,Intellectual Property in Agricultural Biotechnology: Strategies for Open Access,"Plant Biotechnology and Genetics: Principles, Techniques, and Applications",10.1002/9780470282014.ch14,8,NA,1,Gregory Graff,Graff,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1016/j.anscip.2025.08.183,2025,CP,NA,Incorporating precision management technologies to reduce beef cattle enteric CH4 emissions on rangelands,Animal-Science proceedings,10.1016/j.anscip.2025.08.183,NA,NA,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0
doi:10.1017/age.2025.11,2025,JA,a,A Baseline Assessment of School Food Spending and Local Procurement,Agricultural and Resource Economics Review,10.1017/age.2025.11,2,2,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foodpol.2025.102996,2025,JA,a,A Review of Data Linkages for Policy-Informing Research in Food and Ag Economics,Food Policy,10.1016/j.foodpol.2025.102996,3,6.8,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.70021,2025,JA,a,Abatement subsidies for groundwater conservation,American Journal of Agricultural Economics,10.1111/ajae.70021,1,4.9,2,Chris Goemans; Jordan Suter,Goemans; Suter,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foohum.2025.100639,2025,JA,a,Addressing retail meat waste: a focus group study on discolored beef,Food and Humanity,10.1016/j.foohum.2025.100639,5,3.5,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.cropro.2025.107134,2025,JA,b,Alfalfa Harvest Timing Impacts on Alfalfa Weevil with Agronomic and Economic Contexts,Crop Production,10.1016/j.cropro.2025.107134,NA,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.56103/nactaj.v69i1.210,2025,JA,b,An examination of the effectiveness of an institutional intervention to improve retention,NACTA Journal,10.56103/nactaj.v69i1.210,0,NA,3,Jenny Bennett; Kellie Enns; Nathan Clark,Bennett; Clark; Enns,Ag Ed,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/jeq2.70051,2025,JA,a,Building consensus toward an effective performance indicator framework for sustainable farms,Journal of Environmental Quality,10.1002/jeq2.70051,3,2.6,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.70037,2025,JA,a,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,1,3.6,3,Joshua Berning; Jude Bayham; Marco Costanigro,Bayham; Berning; Costanigro,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.scitotenv.2025.179814,2025,JA,a,Characterizing community water systems exposed to wildfire in the Western US,Science of the Total Environment,10.1016/j.scitotenv.2025.179814,0,8,2,Jesse Burkhardt; Jordan Suter,Burkhardt; Suter,ENRE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.344684,2025,JA,a,Climate and Consolidation in the US Beef Cow Sector,Journal of Agricultural and Resource Economics,10.22004/ag.econ.344684,NA,1.3,3,Daniel Mooney; John Ritten; Nathan Delay,Delay; Mooney; Ritten,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.gfs.2025.100840,2025,JA,b,Context is Key to Understand and Improve Livestock Production Systems,Global Food Security,10.1016/j.gfs.2025.100840,27,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/tas/txaf169,2025,JA,a,Developing critical thinking and professional skills in animal science students,Translational Animal Science,10.1093/tas/txaf169,1,1.9,1,Kellie Enns,Enns,Ag Ed,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2025.08.009,2025,JA,a,Does Initial Body Size Influence Weight Gain of Stocker Steers,Rangeland Ecology & Management,10.1016/j.rama.2025.08.009,0,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2024.04.011,2025,JA,a,Does drought intensify effects of black-tailed prairie dog on livestock production,Rangeland Ecology & Management,10.1016/j.rama.2024.04.011,5,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foodpol.2025.102827,2025,JA,a,Dollar-Store Impact on Local Labor Markets and Retail Activity,Food Policy,10.1016/j.foodpol.2025.102827,3,6.8,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/jas/skaf322,2025,JA,a,Evaluation of cattle sub-species and growth-promoting technology on growth performance,Journal of Animal Science,10.1093/jas/skaf322,0,3.7,2,John Ritten; Kellie Enns,Enns; Ritten,Ag Ed; Ag and Food,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/jas/skaf448,2025,JA,a,"Evaluation of cattle sub-species and growth-promoting technology on growth performance, carcass characteristics, and enteric gas flux of steers finished in winter feedlot conditions",Journal of Animal Science,10.1093/jas/skaf448,1,3.7,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1038/s44264-025-00105-w,2025,JA,b,Examining climate benefits from rangeland and pasture management practices,Sustainable Agriculture,10.1038/s44264-025-00105-w,1,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.364767,2025,JA,b,Exploring the Potential for Innovative Water Management Strategies to Support Irrigated Farmland Transitions,Western Economics Forum,10.22004/ag.econ.364767,NA,NA,2,Andrew Seidl; Daniel Mooney,Mooney; Seidl,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13531,2025,JA,a,Exploring the Relationship between Growth in Online Shopping and Multichannel Food Consumers,Applied Economic Perspectives and Policy,10.1002/aepp.13531,0,3.6,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1371/journal.pone.0320316,2025,JA,a,Externalities in Wild Pig Damages on US Crop and Livestock Farms,PLOS ONE,10.1371/journal.pone.0320316,2,2.8,2,Daniel Mooney; Nathan Delay,Delay; Mooney,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jdeveco.2024.103414,2025,JA,a,Going the Distance: Hybrid Vocational Training for Women in Nepal,Journal of Development Economics,10.1016/j.jdeveco.2024.103414,1,5,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/agr.22051,2025,JA,a,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,Agribusiness: An International Journal,10.1002/agr.22051,0,2.4,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.387628,2025,JA,b,Hemp Farming and Credit Access in the United States,Journal of Agribusiness,10.22004/ag.econ.387628,0,NA,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/08941920.2025.2572064,2025,JA,a,How sense of place influences willingness to pay for sustainable wolf populations,Society & Natural Resources,10.1080/08941920.2025.2572064,0,2.1,2,Dana Hoag; Jesse Burkhardt,Burkhardt; Hoag,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.364766,2025,JA,b,Identifying a Path Forward: Evaluating Ranch Socio-Economic Sustainability,Western Economics Forum,10.22004/ag.econ.364766,NA,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3389/fvets.2025.1637190,2025,JA,a,Incorporating Virtual Fencing to Manage Yearling Steers on Extensive Rangelands,Frontiers in Veterinary Science,10.3389/fvets.2025.1637190,1,3.1,2,John Ritten; Nathan Delay,Delay; Ritten,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1088/1748-9326/add35e,2025,JA,a,Inland flooding in the United States: a review,Environmental Research Letters,10.1088/1748-9326/add35e,1,5.4,3,Chris Goemans; Jordan Suter; Jude Bayham,Bayham; Goemans; Suter,ENRE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jeem.2025.103125,2025,JA,a,Insurance and Extraction Incentives in a Common Pool Resource,Journal of Environmental Economics and Management,10.1016/j.jeem.2025.103125,1,6.4,1,Chris Goemans,Goemans,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.prevetmed.2025.106558,2025,JA,a,Integrating epidemiological and economic models to estimate FMD outbreak cost in Brazil,Preventive Veterinary Medicine,10.1016/j.prevetmed.2025.106558,3,2.8,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.eneco.2024.108176,2025,JA,a,Intermittency and uncertainty in wind and solar energy: Impacts on the French electricity market,Energy Economics,10.1016/j.eneco.2024.108176,34,13.5,1,Matt Woerman,Woerman,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.resconrec.2025.108325,2025,JA,a,Island economies in the wake: shipping cost effects from carbon taxes,Resources Conservation and Recycling,10.1016/j.resconrec.2025.108325,9,10.4,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.364770,2025,JA,b,Labor Changes in the US Beef Industry Magnify Challenges with Succession,Western Economics Forum,10.22004/ag.econ.364770,NA,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jclepro.2025.146920,2025,JA,a,Life cycle assessment of open and closed hydroponic systems for vegetable production,Journal of Cleaner Production,10.1016/j.jclepro.2025.146920,7,10.7,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22434/ifamr.0001,2025,JA,a,Machine learning in applied economics and agribusiness,International Food and Agribusiness Management Review,10.22434/ifamr.0001,0,1.8,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.12503,2025,JA,a,Mapping Agents: A Spatial Economic Analysis of Agent Location in Federal Crop Insurance,American Journal of Agricultural Economics,10.1111/ajae.12503,1,4.9,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3389/fvets.2026.1752899,2025,JA,a,Potential economy-wide impacts of an African swine fever outbreak in the United States,Frontiers in Veterinary Science,10.3389/fvets.2026.1752899,3,3.1,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1126/science.adz3885,2025,JA,a,Reinstate the National Climate Assessment,Science,10.1126/science.adz3885,1,47.3,1,Lynne Lewis,Lewis,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.70031,2025,JA,a,Relationship between Knowledge and Compliance with Safety Measures: COVID-19,Applied Economic Perspectives and Policy,10.1002/aepp.70031,0,3.6,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.eneco.2025.108351,2025,JA,a,Residential demand for energy in light of changing solar prices,Energy Economics,10.1016/j.eneco.2025.108351,1,13.5,1,Matt Woerman,Woerman,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1186/s40008-025-00359-0,2025,JA,b,Revealing US Retail Industries Functional Hierarchy Through Demand Thresholds,Journal of Economic Structures,10.1186/s40008-025-00359-0,0,NA,1,Anders Van Sandt,Van Sandt,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1038/s41467-024-54163-8,2025,JA,a,Solar energy resource availability under extreme and historical wildfire smoke conditions,Nature Communications,10.1038/s41467-024-54163-8,20,18.1,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2025.08.010,2025,JA,a,Steer Growth Performance and Enteric Gas Flux Across Backgrounding Phases,Rangeland Ecology & Management,10.1016/j.rama.2025.08.010,1,2.9,2,John Ritten; Kellie Enns,Enns; Ritten,Ag Ed; Ag and Food,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/ecs2.70397,2025,JA,a,Synergies and trade-offs between ecosystem services and economics in dryland cover crop systems,Ecosphere,10.1002/ecs2.70397,2,3,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/twec.13731,2025,JA,b,Tariff Troubles: Repercussions of Protectionist Policies on U.S. Agriculture,The World Economy,10.1111/twec.13731,5,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rala.2024.05.006,2025,JA,b,The Economic Fundamentals of Virtual Fencing Compared to Traditional Fencing,Rangelands,10.1016/j.rala.2024.05.006,14,NA,4,Dana Hoag; Daniel Mooney; John Ritten; Nathan Delay,Delay; Hoag; Mooney; Ritten,Ag and Food; ENRE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foodpol.2024.102769,2025,JA,a,The Information Value of Geographical Indications,Food Policy,10.1016/j.foodpol.2024.102769,8,6.8,1,Marco Costanigro,Costanigro,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.tfp.2025.101081,2025,JA,a,The unaccounted costs of slash pile burning,Trees Forests and People,10.1016/j.tfp.2025.101081,1,3.6,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.socec.2025.102403,2025,JA,a,Time pressure and motivated delay effects on sanctioning in a social dilemma,Journal of Behavioral and Experimental Economics,10.1016/j.socec.2025.102403,0,1.5,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/biosci/biaf026,2025,JA,a,Transdisciplinary research priorities for a One Health approach to human-wildlife coexistence,BioScience,10.1093/biosci/biaf026,4,9.5,2,Dana Hoag; John Ritten,Hoag; Ritten,Ag and Food; ENRE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13503,2025,JA,a,U.S. Employment Exposure to Domestic and Foreign Tariff Changes under NAFTA,Applied Economic Perspectives and Policy,10.1002/aepp.13503,0,3.6,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2025.01.007,2025,JA,a,US Beef Cattle Inventory Trends with Implications for Land Use and Rangelands,Rangeland Ecology & Management,10.1016/j.rama.2025.01.007,4,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/10871209.2024.2414880,2025,JA,a,US livestock producer interest in alternatives to compensation programs for wolf depredation,Human Dimensions of Wildlife,10.1080/10871209.2024.2414880,3,1.5,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.5032/jae.v66i4.3220,2025,JA,b,Understanding Barriers to SAE Implementation and Professional Development Needs,Journal of Agricultural Education,10.5032/jae.v66i4.3220,0,NA,1,Jenny Bennett,Bennett,Ag Ed,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3389/fclim.2025.1398452,2025,JA,a,Unwinding the Spiral of Silence in Rural America,Frontiers in Climate,10.3389/fclim.2025.1398452,0,3.9,1,Anders Van Sandt,Van Sandt,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1029/2024wr038504,2025,JA,a,Water scarcity compounds negative effects of salinity on irrigated agriculture,Water Resources Research,10.1029/2024wr038504,0,6.3,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.worlddev.2025.107078,2025,JA,a,Who is Asking and How? Effects of Survey Mode and Enumerator Gender,World Development,10.1016/j.worlddev.2025.107078,1,5.1,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
titleyear:modelling the global economic impact of antimicrobial resist|2025,2025,RP,NA,Modelling the Global Economic Impact of Antimicrobial Resistance in Humans,Center for Global Development Working Paper 713,NA,NA,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1016/j.rama.2026.04.003,2026,JA,a,"Adaptive, Multipaddock Grazing Management Increased C3 and Reduced C4 Graminoids Without Changing Total Forage Production in Shortgrass Steppe",Rangeland Ecology & Management,10.1016/j.rama.2026.04.003,0,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.3368/le.102.3.012626-0015,2026,JA,a,Are mobility data a substitute for travel cost surveys,Land Economics,10.3368/le.102.3.012626-0015,1,1.9,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1093/qopen/qoag018,2026,JA,a,Assessing Factors Contributing to a Healthy Work Ecosystem in the Applied Economics Profession,Q Open,10.1093/qopen/qoag018,0,2.3,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1007/s10640-026-01072-7,2026,JA,a,Climate Intervention and Mitigation: Strategic Responses to Technological Advances in Solar Geoengineering,Environmental and Resource Economics,10.1007/s10640-026-01072-7,0,3.5,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1038/s41597-026-07753-8,2026,JA,b,Data-usage descriptors as search metadata: the case of food security data and the National Data Platform,Scientific Data,10.1038/s41597-026-07753-8,0,NA,1,Lauren Chenarides,Chenarides,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.7717/peerj.20732,2026,JA,a,Drivers of wolf depredation reporting and compensation use intentions by livestock producers,PeerJ,10.7717/peerj.20732,0,2.9,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1093/tas/txag072,2026,JA,a,"Effects of growth hormone implants on animal growth performance, feed intake, carcass characteristics, feeding behavior, gas flux emissions, and relative profitability of finishing Angus steers",Translational Animal Science,10.1093/tas/txag072,0,1.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1002/ajae.70071,2026,JA,a,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,0,4.9,3,Alessandro Bonanno; Joshua Berning; Jude Bayham,Bayham; Berning; Bonanno,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1093/qopen/qoag010,2026,JA,a,"Food fights in the classroom: a case study exploring the connections between economic reasoning, critical thinking, engagement, and dialogue in polarized contexts",Q Open,10.1093/qopen/qoag010,1,2.3,2,Hayley Chouinard; Marco Costanigro,Chouinard; Costanigro,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.2989/10220119.2025.2585814,2026,JA,a,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,African Journal of Range & Forage Science,10.2989/10220119.2025.2585814,1,1.6,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1016/j.foodcont.2025.111582,2026,JA,a,Fungal ecology and postharvest factors driving aflatoxin contamination in Ghanaian groundnuts,Food Control,10.1016/j.foodcont.2025.111582,NA,7,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1016/j.worlddev.2025.107182,2026,JA,a,Gendered Networks and Demand for an Agricultural Technology in India,World Development,10.1016/j.worlddev.2025.107182,1,5.1,1,Nicholas Magnan,Magnan,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1029/2025wr040427,2026,JA,a,Groundwater management amidst a changing climate: A more severe climate could decrease the value of groundwater conservation,Water Resources Research,10.1029/2025wr040427,0,6.3,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.3168/jds.2025-28132,2026,JA,a,Integrating automated body condition scores and lactation data via optimization algorithms for maximized milk revenue and minimized cost of delayed conception in dairy cows,Journal of Dairy Science,10.3168/jds.2025-28132,0,4.7,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.5032/jae.v67i1.3218,2026,JA,b,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge,Journal of Agricultural Education,10.5032/jae.v67i1.3218,0,NA,3,Jenny Bennett; Kellie Enns; Nathan Clark,Bennett; Clark; Enns,Ag Ed,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1002/aepp.70047,2026,JA,a,"Livestock Tango: US and Latin America Dance Together, but Who Will Lead?",Applied Economic Perspectives and Policy,10.1002/aepp.70047,0,3.6,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1186/s13021-026-00431-7,2026,JA,a,Merging rigor and relevance in grazingland research: a comprehensive social-ecological monitoring approach,Carbon Balance and Management,10.1186/s13021-026-00431-7,1,7,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1016/j.jhealeco.2026.103121,2026,JA,a,Nurse practitioner training and local medical provider supply,Journal of Health Economics,10.1016/j.jhealeco.2026.103121,0,3.8,1,Anders Van Sandt,Van Sandt,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
