last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file
Enns,Kellie,Ag Ed,2025,JA,a,U,1,Enns;Ritten,Steer Growth Performance and Enteric Gas Flux Across Backgrounding Phases,Rangeland Ecology & Management,10.1016/j.rama.2025.08.010,rittenjohn.txt
Ritten,John,Ag and Food,2025,JA,a,N,1,Enns;Ritten,Steer Growth Performance and Enteric Gas Flux Across Backgrounding Phases,Rangeland Ecology & Management,10.1016/j.rama.2025.08.010,rittenjohn.txt
Ritten,John,Ag and Food,2026,JA,a,,0,,Unravelling the Influence of Adaptive Grazing Management with Multiple Paddocks on Cattle Production in Semiarid Rangeland,Rangeland Ecology & Management,10.1016/j.rama.2026.03.004,Google Scholar
Ritten,John,Ag and Food,2026,JA,a,,0,,"Adaptive, Multipaddock Grazing Management Increased C3 and Reduced C4 Graminoids Without Changing Total Forage Production in Shortgrass Steppe",Rangeland Ecology & Management,10.1016/j.rama.2026.04.003,Google Scholar
Ritten,John,Ag and Food,2026,JA,a,,0,,Nutrient Runoff From North American Grasslands,Rangeland Ecology & Management,10.1016/j.rama.2026.05.006,Google Scholar
Ritten,John,Ag and Food,2022,JA,b,N,0,,Social learning lessons from Collaborative Adaptive Rangeland Management,Rangelands,10.1016/j.rala.2021.02.002,rittenjohn.txt
Ritten,John,Ag and Food,2022,JA,b,N,0,,Adaptive Grazing Management in Semiarid Rangelands: An Outcome-driven Focus,Rangelands,10.1016/j.rala.2021.02.004,rittenjohn.txt
Ritten,John,Ag and Food,2022,JA,b,Y,0,,Stocking rate and marketing dates for yearling steers grazing rangelands,Rangelands,10.1016/j.rala.2022.04.002,rittenjohn.txt
Ritten,John,Ag and Food,2022,JA,b,N,0,,Balancing Ecosystem Service Outcomes at the Ranch-Scale in Shortgrass Steppe,Rangelands,10.1016/j.rala.2022.05.003,rittenjohn.txt
DeLay,Nathan,Ag and Food,2025,JA,b,N,1,DeLay;Hoag;Mooney;Ritten,The Economic Fundamentals of Virtual Fencing Compared to Traditional Fencing,Rangelands,10.1016/j.rala.2024.05.006,delaynathan.txt
Hoag,Dana,ENRE,2025,JA,b,N,1,DeLay;Hoag;Mooney;Ritten,The Economic Fundamentals of Virtual Fencing Compared to Traditional Fencing,Rangelands,10.1016/j.rala.2024.05.006,hoagdana.txt
Mooney,Daniel,Ag and Food,2025,JA,b,N,1,DeLay;Hoag;Mooney;Ritten,The Economic Fundamentals of Virtual Fencing Compared to Traditional Fencing,Rangelands,10.1016/j.rala.2024.05.006,mooneydaniel.txt
Ritten,John,Ag and Food,2025,JA,b,N,1,DeLay;Hoag;Mooney;Ritten,The Economic Fundamentals of Virtual Fencing Compared to Traditional Fencing,Rangelands,10.1016/j.rala.2024.05.006,rittenjohn.txt
Bayham,Jude,ENRE,2023,JA,a,Y,1,Bayham;Berning;Costanigro;Thilmany,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,costanigromarco.txt
Berning,Joshua,Ag and Food,2023,JA,a,Y,1,Bayham;Berning;Costanigro;Thilmany,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,costanigromarco.txt
Costanigro,Marco,Ag and Food,2023,JA,a,Y,1,Bayham;Berning;Costanigro;Thilmany,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,costanigromarco.txt
Thilmany,Dawn,Ag and Food,2023,JA,a,Y,1,Bayham;Berning;Costanigro;Thilmany,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,thilmanydawn.txt
Bonanno,Alessandro,Ag and Food,2021,JA,a,U,1,Bonanno;Cleary,Enhancing Understanding of Food Purchasing Patterns in the Northeast,Renewable Agriculture and Food Systems,10.1017/s1742170519000371,clearyrebecca.txt
Cleary,Rebecca,Ag and Food,2021,JA,a,Y,1,Bonanno;Cleary,Enhancing Understanding of Food Purchasing Patterns in the Northeast,Renewable Agriculture and Food Systems,10.1017/s1742170519000371,clearyrebecca.txt
Jablonski,Becca,Ag and Food,2023,JA,a,U,1,Jablonski;Mooney;Thilmany,Producers Marketing a Novel Crop: A Field-Level View of Hemp Market Channels,Renewable Agriculture and Food Systems,10.1017/S1742170523000145,mooneydaniel.txt
Mooney,Daniel,Ag and Food,2023,JA,a,Y,1,Jablonski;Mooney;Thilmany,Producers Marketing a Novel Crop: A Field-Level View of Hemp Market Channels,Renewable Agriculture and Food Systems,10.1017/S1742170523000145,mooneydaniel.txt
Thilmany,Dawn,Ag and Food,2023,JA,a,Y,1,Jablonski;Mooney;Thilmany,Producers Marketing a Novel Crop: A Field-Level View of Hemp Market Channels,Renewable Agriculture and Food Systems,10.1017/S1742170523000145,thilmanydawn.txt
Goemans,Chris,ENRE,2021,JA,a,U,1,Goemans;Manning;Suter,Groundwater Depletion Climate and the Incremental Value of Groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2019.101143,manningdale.txt
Manning,Dale,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Groundwater Depletion Climate and the Incremental Value of Groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2019.101143,manningdale.txt
Suter,Jordan,ENRE,2021,JA,a,U,1,Goemans;Manning;Suter,Groundwater Depletion Climate and the Incremental Value of Groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2019.101143,manningdale.txt
Goemans,Chris,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Depletion climate and the incremental value of groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2021.101143,goemanschris.txt
Manning,Dale,ENRE,2021,JA,a,U,1,Goemans;Manning;Suter,Depletion climate and the incremental value of groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2021.101143,goemanschris.txt
Suter,Jordan,ENRE,2021,JA,a,U,1,Goemans;Manning;Suter,Depletion climate and the incremental value of groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2021.101143,goemanschris.txt
Countryman,Amanda,Ag and Food,2025,JA,a,U,0,,Island economies in the wake: shipping cost effects from carbon taxes,Resources Conservation and Recycling,10.1016/j.resconrec.2025.108325,countrymanamanda.txt
Chenarides,Lauren,Ag and Food,2023,JA,a,N,0,,Retail Markups and Discount-Store Entry,Review of Industrial Organization,10.1007/s11151-023-09926-w,chenarideslauren.txt
Bayham,Jude,ENRE,2021,JA,a,N,0,,Effects of land dispossession and forced migration on Indigenous peoples,Science,10.1126/science.abe4943,bayhamjude.txt
Lewis,Lynne,ENRE,2025,JA,a,N,0,,Reinstate the National Climate Assessment,Science,10.1126/science.adz3885,lewislynne.txt
Goemans,Chris,ENRE,2023,JA,a,Y,1,Goemans;Manning,Assessment of vulnerability to water shortage in semi-arid river basins,Science of the Total Environment,10.1016/j.scitotenv.2023.161964,goemanschris.txt
Manning,Dale,ENRE,2023,JA,a,Y,1,Goemans;Manning,Assessment of vulnerability to water shortage in semi-arid river basins,Science of the Total Environment,10.1016/j.scitotenv.2023.161964,manningdale.txt
Burkhardt,Jesse,ENRE,2025,JA,a,Y,1,Burkhardt;Suter,Characterizing community water systems exposed to wildfire in the Western US,Science of the Total Environment,10.1016/j.scitotenv.2025.179814,burkhardtjesse.txt
Suter,Jordan,ENRE,2025,JA,a,Y,1,Burkhardt;Suter,Characterizing community water systems exposed to wildfire in the Western US,Science of the Total Environment,10.1016/j.scitotenv.2025.179814,suterjordan.txt
Chenarides,Lauren,Ag and Food,2026,JA,a,N,0,,Data-usage descriptors as search metadata: the case of food security data and the National Data Platform,Scientific Data,10.1038/s41597-026-07753-8,Google Scholar
Bayham,Jude,ENRE,2021,JA,a,N,0,,Risk compensation and face mask mandates during the COVID-19 pandemic,Scientific Reports,10.1038/s41598-021-82574-w,bayhamjude.txt
Bayham,Jude,ENRE,2022,JA,a,N,0,,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,Scientific Reports,10.1038/s41598-022-12253-x,bayhamjude.txt
Ritten,John,Ag and Food,2022,JA,a,Y,0,,Effects of Feed Efficiency and Diet on Performance and Carcass Characteristics in Growing Wether Lambs,Small Ruminant Research,10.1016/j.smallrumres.2021.106611,rittenjohn.txt
Burkhardt,Jesse,ENRE,2025,JA,a,U,1,Burkhardt;Hoag,How sense of place influences willingness to pay for sustainable wolf populations,Society & Natural Resources,10.1080/08941920.2025.2572064,hoagdana.txt
Hoag,Dana,ENRE,2025,JA,a,N,1,Burkhardt;Hoag,How sense of place influences willingness to pay for sustainable wolf populations,Society & Natural Resources,10.1080/08941920.2025.2572064,hoagdana.txt
Hoag,Dana,ENRE,2021,JA,b,Y,0,,Valuing Cattle Manure as an Agricultural Resource for Efficiency and Environmental Sustainability,Sustainability,10.3390/su13169375,hoagdana.txt
Mooney,Daniel,Ag and Food,2022,JA,b,N,0,,Returns to Disease Resistance Research when Pest Management is an Option,Sustainability,10.3390/su14052859,mooneydaniel.txt
Ritten,John,Ag and Food,2025,JA,a,N,0,,Examining climate benefits from rangeland and pasture management practices,Sustainable Agriculture,10.1038/s44264-025-00105-w,rittenjohn.txt
Van Sandt,Anders,Ag and Food,2026,JA,a,,0,,Rural emergency hospitals: Emerging patterns of adaptation and community perception,The Journal of Rural Health,10.1111/jrh.70112,Google Scholar
Countryman,Amanda,Ag and Food,2025,JA,a,Y,0,,Tariff Troubles: Repercussions of Protectionist Policies on U.S. Agriculture,The World Economy,10.1111/twec.13731,countrymanamanda.txt
Thilmany,Dawn,Ag and Food,2024,JA,a,N,0,,Assessing Economic Impacts of Mile High 420 Festival in Colorado,Tourism and Hospitality,10.3390/tourhosp5030032,thilmanydawn.txt
Mooney,Daniel,Ag and Food,2024,JA,a,Y,0,,Benchmarking Current Pre-Slaughter Management Factors Welfare Indicators and Meat Quality,Translational Animal Science,10.1093/tas/txad150,mooneydaniel.txt
Mooney,Daniel,Ag and Food,2024,JA,a,Y,0,,Pre-Slaughter Factors Affecting Mobility Blood Parameters Bruising and Muscle pH,Translational Animal Science,10.1093/tas/txae035,mooneydaniel.txt
Mooney,Daniel,Ag and Food,2024,JA,a,Y,0,,An analysis of preslaughter management factors on welfare and meat quality outcomes,Translational Animal Science,10.1093/tas/txae108,mooneydaniel.txt
Enns,Kellie,Ag Ed,2025,JA,a,Y,0,,Developing critical thinking and professional skills in animal science students,Translational Animal Science,10.1093/tas/txaf169,ennskellie.txt
Ritten,John,Ag and Food,2026,JA,a,,0,,"Effects of growth hormone implants on animal growth performance, feed intake, carcass characteristics, feeding behavior, gas flux emissions, and relative profitability of finishing Angus steers",Translational Animal Science,10.1093/tas/txag072,Google Scholar
Suter,Jordan,ENRE,2025,JA,a,Y,0,,The unaccounted costs of slash pile burning,Trees Forests and People,10.1016/j.tfp.2025.101081,suterjordan.txt
Hoag,Dana,ENRE,2022,JA,a,Y,1,Hoag;Mooney,More Risk More Money: When are Payments for Water Savings from Limited Irrigation Profitable,Water Resources and Economics,10.1016/j.wre.2022.100212,hoagdana.txt
Mooney,Daniel,Ag and Food,2022,JA,a,Y,1,Hoag;Mooney,More Risk More Money: When are Payments for Water Savings from Limited Irrigation Profitable,Water Resources and Economics,10.1016/j.wre.2022.100212,mooneydaniel.txt
Burkhardt,Jesse,ENRE,2023,JA,a,U,1,Burkhardt;Goemans;Manning,Further evidence on social comparison and residential water use,Water Resources and Economics,10.1016/j.wre.2023.100214,goemanschris.txt
Goemans,Chris,ENRE,2023,JA,a,Y,1,Burkhardt;Goemans;Manning,Further evidence on social comparison and residential water use,Water Resources and Economics,10.1016/j.wre.2023.100214,goemanschris.txt
Manning,Dale,ENRE,2023,JA,a,U,1,Burkhardt;Goemans;Manning,Further evidence on social comparison and residential water use,Water Resources and Economics,10.1016/j.wre.2023.100214,goemanschris.txt
Costanigro,Marco,Ag and Food,2022,JA,a,N,0,,Implicit and Explicit Biases for Recycled Water and Tap Water,Water Resources Research,10.1029/2021WR030712,costanigromarco.txt
Goemans,Chris,ENRE,2024,JA,a,Y,1,Goemans;Manning,Integrated water management under different water rights institutions,Water Resources Research,10.1029/2024WR037196,goemanschris.txt
Manning,Dale,ENRE,2024,JA,a,U,1,Goemans;Manning,Integrated water management under different water rights institutions,Water Resources Research,10.1029/2024WR037196,goemanschris.txt
Suter,Jordan,ENRE,2025,JA,a,U,0,,Water scarcity compounds negative effects of salinity on irrigated agriculture,Water Resources Research,10.1029/2024wr038504,suterjordan.txt
Suter,Jordan,ENRE,2026,JA,a,,0,,Groundwater management amidst a changing climate: A more severe climate could decrease the value of groundwater conservation,Water Resources Research,10.1029/2025WR040427,Google Scholar
Hill,Alexandra,Ag and Food,2021,JA,b,N,0,,COVID-19 and Farm Workers,Western Economics Forum,10.22004/ag.econ.311308,hillalexandra.txt
Bayham,Jude,ENRE,2021,JA,b,Y,0,,COVID-19 and the renewed migration to the rural west,Western Economics Forum,10.22004/ag.econ.311309,bayhamjude.txt
Bayham,Jude,ENRE,2023,JA,b,Y,0,,The Economics of Wildland Firefighting Aviation Procurement and Effectiveness,Western Economics Forum,10.22004/ag.econ.339590,bayhamjude.txt
DeLay,Nathan,Ag and Food,2024,JA,b,U,1,DeLay;Hoag;Mooney;Ritten,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,10.22004/ag.econ.349293,mooneydaniel.txt
Hoag,Dana,ENRE,2024,JA,b,U,1,DeLay;Hoag;Mooney;Ritten,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,10.22004/ag.econ.349293,mooneydaniel.txt
Mooney,Daniel,Ag and Food,2024,JA,b,N,1,DeLay;Hoag;Mooney;Ritten,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,10.22004/ag.econ.349293,mooneydaniel.txt
Ritten,John,Ag and Food,2024,JA,b,U,1,DeLay;Hoag;Mooney;Ritten,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,10.22004/ag.econ.349293,mooneydaniel.txt
Ritten,John,Ag and Food,2025,JA,b,N,0,,Identifying a Path Forward: Evaluating Ranch Socio-Economic Sustainability,Western Economics Forum,10.22004/ag.econ.364766,rittenjohn.txt
Mooney,Daniel,Ag and Food,2025,JA,b,Y,1,Mooney;Seidl,Exploring the Potential for Innovative Water Management Strategies to Support Irrigated Farmland Transitions,Western Economics Forum,10.22004/ag.econ.364767,mooneydaniel.txt
Seidl,Andrew,ENRE,2025,JA,b,U,1,Mooney;Seidl,Exploring the Potential for Innovative Water Management Strategies to Support Irrigated Farmland Transitions,Western Economics Forum,10.22004/ag.econ.364767,mooneydaniel.txt
Ritten,John,Ag and Food,2025,JA,b,Y,0,,Labor Changes in the US Beef Industry Magnify Challenges with Succession,Western Economics Forum,10.22004/ag.econ.364770,rittenjohn.txt
Hoag,Dana,ENRE,2022,JA,b,N,0,,Economic Consequences of the Wolf Comeback in the Western United States,Western Economics Forum,nodoi,hoagdana.txt
DeLay,Nathan,Ag and Food,2021,JA,b,N,0,,Farm Data Collection and Software Adoption in Commercial Scale US Corn-Soybean Farms,Western Economics Forum,nodoi,delaynathan.txt
Bayham,Jude,ENRE,2021,JA,b,N,0,,Impacts of the COVID-19 pandemic on agriculture and natural resources in the western US,Western Economics Forum,nodoi,bayhamjude.txt
DeLay,Nathan,Ag and Food,2021,JA,b,Y,0,,Recent Trends in PA Technology Adoption and Bundling in Corn Production,Western Economics Forum,nodoi,delaynathan.txt
Burkhardt,Jesse,ENRE,2021,JA,a,N,0,,Dry landscapes and parched economies: drought impacts on nonagricultural sectors,WIREs Water,10.1002/wat2.1571,burkhardtjesse.txt
Burkhardt,Jesse,ENRE,2022,JA,a,N,0,,Data availability and sector-specific frameworks restrict drought impact quantification,WIREs Water,10.1002/wat2.1586,burkhardtjesse.txt
Magnan,Nicholas,Ag and Food,2025,JA,a,Y,0,,Who is Asking and How? Effects of Survey Mode and Enumerator Gender,World Development,10.1016/j.worlddev.2025.107078,magnannicholas.txt
Magnan,Nicholas,Ag and Food,2026,JA,a,N,0,,Gendered Networks and Demand for an Agricultural Technology in India,World Development,10.1016/j.worlddev.2025.107182,magnannicholas.txt
Koontz,Stephen,Ag and Food,2021,RP,b,N,0,,Price Discovery in Fed Cattle and Beef Markets: Does Volume of Cash Trade Have an Impact,American Farm Bureau Federation Research Report,nodoi,koontzstephen.txt
Costanigro,Marco,Ag and Food,2021,RP,a,N,0,,Reputation Leaders and Quality Laggards (book review AJAE),American Journal of Agricultural Economics,10.1111/ajae.12198,costanigromarco.txt
Countryman,Amanda,Ag and Food,2025,RP,b,N,0,,Modelling the Global Economic Impact of Antimicrobial Resistance in Humans,Center for Global Development Working Paper 713,nodoi,countrymanamanda.txt
Countryman,Amanda,Ag and Food,2022,RP,b,N,0,,The Future of Food and Agricultural Trade with China,Farm Foundation Issue Report,nodoi,countrymanamanda.txt
Goemans,Chris,ENRE,2022,RP,b,Y,1,Goemans;Manning,Producer Beliefs and Conservation: The Impact of Perceived Water Scarcity on Irrigation Technology Adoption,National Bureau of Economic Research,10.3386/w30080,goemanschris.txt
Manning,Dale,ENRE,2022,RP,b,U,1,Goemans;Manning,Producer Beliefs and Conservation: The Impact of Perceived Water Scarcity on Irrigation Technology Adoption,National Bureau of Economic Research,10.3386/w30080,goemanschris.txt
Bayham,Jude,ENRE,2024,RP,b,Y,1,Bayham;Berning;Bonanno,Unemployment and Food Insecurity Amongst Immigrants in the United States,Regional Economic Development Institute,nodoi,berningjoshua.txt
Berning,Joshua,Ag and Food,2024,RP,b,N,1,Bayham;Berning;Bonanno,Unemployment and Food Insecurity Amongst Immigrants in the United States,Regional Economic Development Institute,nodoi,berningjoshua.txt
Bonanno,Alessandro,Ag and Food,2024,RP,b,U,1,Bayham;Berning;Bonanno,Unemployment and Food Insecurity Amongst Immigrants in the United States,Regional Economic Development Institute,nodoi,berningjoshua.txt
Koontz,Stephen,Ag and Food,2024,RP,b,N,0,,Economic Valuation of Landsat Next,United States Geological Survey,nodoi,koontzstephen.txt
Countryman,Amanda,Ag and Food,2022,RP,b,N,0,,Ukraine Conflict Disrupts Agricultural Production and International Trade,Virginia Tech Global Agricultural Productivity Report,nodoi,countrymanamanda.txt
Countryman,Amanda,Ag and Food,2024,RP,b,N,0,,Forecasting the Fallout from AMR (EcoAMR series),World Organisation for Animal Health / World Bank,10.20506/ecoAMR.3539,countrymanamanda.txt
Burkhardt,Jesse,ENRE,2025,WP,b,Y,1,Burkhardt;Hoag;Mooney,Willingness to Participate in Agricultural Water Conservation Programs: Choice Experiment Evidence from the Upper Colorado River Basin,AAEA Conference Paper,10.22004/ag.econ.361067,Google Scholar
Hoag,Dana,ENRE,2025,WP,b,Y,1,Burkhardt;Hoag;Mooney,Willingness to Participate in Agricultural Water Conservation Programs: Choice Experiment Evidence from the Upper Colorado River Basin,AAEA Conference Paper,10.22004/ag.econ.361067,Google Scholar
Mooney,Daniel,Ag and Food,2025,WP,b,Y,1,Burkhardt;Hoag;Mooney,Willingness to Participate in Agricultural Water Conservation Programs: Choice Experiment Evidence from the Upper Colorado River Basin,AAEA Conference Paper,10.22004/ag.econ.361067,Google Scholar
Hoag,Dana,ENRE,2026,WP,b,N,1,Hoag;Mooney,Profitability of Threshold-Based Flex Crop Strategies for Dryland Wheat Rotations,AAEA Conference Paper,10.22004/ag.econ.404698,Google Scholar
Mooney,Daniel,Ag and Food,2026,WP,b,,1,Hoag;Mooney,Profitability of Threshold-Based Flex Crop Strategies for Dryland Wheat Rotations,AAEA Conference Paper,10.22004/ag.econ.404698,Google Scholar
Burkhardt,Jesse,ENRE,2026,WP,b,,0,,Climate variability introduces uncertainty into future emissions pathways,EarthAirXiv,10.31223/X5518B,Google Scholar
Graff,Gregory,Ag and Food,2025,WP,b,,0,,"The contribution of startups, venture finance, and patenting to innovation in US agriculture",USPTO Economic Working Paper,10.2139/ssrn.4892791,Google Scholar
Graff,Gregory,Ag and Food,2026,WP,b,,0,,Diffusion of Genetically Modified Crop Technology: Economic Research Working Paper No. 93,World Intellectual Property Organization (WIPO) Economic Research Working Paper Series,nodoi,Google Scholar
